what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1475420782397
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1475420782834
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475420784384
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475420795507
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1475420796648
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475420820926
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475420826126
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1475420826220
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475420830301
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475420854607
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1475420855264
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1475420855763
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475420857232
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475420873266
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1475420876032
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1475420896528
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1475420896731
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1475420897342
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1475420897858
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1475420904955
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1475420910715
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1475420935002
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1475420947307
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1475420947885
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1475420948135
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1475420948260
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475420948948
